product_name,price,description,image_url,lost_description
Dell Latitude...,$1310.39,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I misplaced my dell latitude... somewhere in the library.
Hewlett Packar...,$1326.83,"Hewlett Packard ProBook 640 G3, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my hewlett packar... near the parking area.
Apple MacBook...,$1333,"Apple MacBook Pro 13"" Space Gray, Core i5 2.3GHz, 8GB, 128GB SSD, Iris Plus 640, ENG",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my apple macbook... near the parking area.
Dell Latitude...,$1337.28,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 8GB, 256GB SSD, GeForce GT930MX, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,Someone might have seen a dell latitude... near the hostel area.
Dell Latitude...,$1338.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux + Windows 10 Home",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I misplaced my dell latitude... somewhere in the library.
Dell Latitude...,$1341.22,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 16GB, 256GB SSD, GeForce GT930MX, Linux",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my dell latitude... while commuting this morning.
Apple MacBook...,$1347.78,"Apple MacBook Air 13"", Intel Core i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, RUS",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my apple macbook... while commuting this morning.
Lenovo ThinkPa...,$1349.23,"Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my lenovo thinkpa... in the lecture hall.
Lenovo ThinkPa...,$1362.24,"Lenovo ThinkPad Yoga 370 Black, 13.3"" FHD IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,Someone might have seen a lenovo thinkpa... near the hostel area.
Toshiba Porteg...,$1366.32,"Toshiba Portege X20W-D-10V Black/Blue, 12.5"" FHD Touch, Core i7-7500U, 8GB, 512GB SSD, Windows 10 Pro",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My toshiba porteg... went missing near the campus cafeteria.
Asus ASUSPRO B...,$1381.13,"Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my asus asuspro b... in the lecture hall.
Asus ROG Strix...,$1399,"Asus ROG Strix GL702VM-GC146T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1060 3GB, Windows 10 Home, Eng kbd",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My asus rog strix... went missing near the campus cafeteria.
Lenovo IdeaTab,$69.99,"7"" screen, Android",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my lenovo ideatab near the bus stop yesterday evening.
Acer Iconia,$96.99,"7"" screen, Android, 16GB",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,Someone might have seen a acer iconia near the hostel area.
Asus MeMO Pad,$102.99,"7"" screen, Android, 8GB",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my asus memo pad near the parking area.
Amazon Kindle,$103.99,"6"" screen, wifi",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,A amazon kindle was reported missing near the main gate.
iPad Mini Reti...,$537.99,"Wi-Fi + Cellular, 32GB, Silver",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my ipad mini reti... in the lecture hall.
IdeaTab A3500L,$88.99,"Black, 7"" IPS, Quad-Core 1.2GHz, 8GB, Android 4.2",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my ideatab a3500l while commuting this morning.
Galaxy Tab,$251.99,"16GB, White",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My galaxy tab went missing near the campus cafeteria.
IdeaTab A3500-...,$148.99,"Blue, 7"" IPS, Quad-Core 1.3GHz, 8GB, 3G, Android 4.2",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,Someone might have seen a ideatab a3500-... near the hostel area.
Galaxy Tab 3,$97.99,"7"", 8GB, Wi-Fi, Android 4.2, White",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my galaxy tab 3 while commuting this morning.
Galaxy Note,$489.99,"12.2"", 32GB, WiFi, Android 4.4, White",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,Someone might have seen a galaxy note near the hostel area.
MeMO Pad 7,$130.99,"White, 7"", Atom 1.2GHz, 8GB, Android 4.4",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my memo pad 7 near the parking area.
Galaxy Tab 4,$233.99,"LTE (SM-T235), Quad-Core 1.2GHz, 8GB, Black",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,A galaxy tab 4 was reported missing near the main gate.
Galaxy Tab 3,$107.99,"7"", 8GB, Wi-Fi, Android 4.2, Yellow",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,Someone might have seen a galaxy tab 3 near the hostel area.
Memo Pad HD 7,$101.99,"IPS, Dual-Core 1.2GHz, 8GB, Android 4.3",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,Someone might have seen a memo pad hd 7 near the hostel area.
Galaxy Note 10...,$587.99,"10.1"", 32GB, Black",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my galaxy note 10... near the parking area.
MeMo PAD FHD 1...,$320.99,"White, 10.1"" IPS, 1.6GHz, 2GB, 16GB, Android 4.2",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,Someone might have seen a memo pad fhd 1... near the hostel area.
IdeaTab S5000,$172.99,"Silver, 7"" IPS, Quad-Core 1.2Ghz, 16GB, 3G, Android 4.2",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my ideatab s5000 in the lecture hall.
Iconia B1-730H...,$99.99,"Black, 7"", 1.6GHz Dual-Core, 8GB, Android 4.4",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My iconia b1-730h... went missing near the campus cafeteria.
IdeaTab A8-50,$121.99,"Blue, 8"" IPS, Quad-Core 1.3GHz, 16GB, Android 4.2",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my ideatab a8-50 in the lecture hall.
Galaxy Note,$399.99,"10.1"", 3G, Android 4.0, Garnet Red",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,Someone might have seen a galaxy note near the hostel area.
Apple iPad Air,$603.99,"Wi-Fi, 64GB, Silver",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,My apple ipad air went missing near the campus cafeteria.
Nokia 123,$24.99,7 day battery,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my nokia 123 in the lecture hall.
LG Optimus,$57.99,"3.2"" screen",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I misplaced my lg optimus somewhere in the library.
Samsung Galaxy,$93.99,5 mpx. Android 5.0,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my samsung galaxy near the parking area.
Nokia X,$109.99,"Andoid, Jolla dualboot",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I lost my nokia x while commuting this morning.
Sony Xperia,$118.99,"GPS, waterproof",https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I misplaced my sony xperia somewhere in the library.
Ubuntu Edge,$499.99,Sapphire glass,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my ubuntu edge near the parking area.
Iphone,$899.99,White,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I think I left my iphone in the lecture hall.
Iphone,$899.99,Silver,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,A iphone was reported missing near the main gate.
Iphone,$899.99,Black,https://webscraper.io/images/test-sites/e-commerce/items/cart2.png,I dropped my iphone near the parking area.
